"ID1","ID2","Dist","DistM"
"10","5","2304.337246400006","62277.16446627536"
"10","4","2639.274572000005","70266.6088965482"
"10","3","1489.1168960000027","55583.05191657992"
"10","2","2602.3088588000055","76523.96820942887"
"10","1","1480.3961200000037","37419.090885900994"
"2","1","2926.149480400005","54034.52377915607"
"3","1","1812.9575176000026","33093.60748630708"
"4","1","2993.6591508000065","60039.9061660723"
"3","2","1114.02039","21023.759005323587"
"5","1","2628.177868000003","39787.720036002516"
"4","2","284.74116599999996","19969.343417595166"
"6","1","1258.614372000002","21913.708498984757"
"5","2","303.62846680000007","14812.48916810279"
"4","3","1181.5300604000038","27029.141392239813"
"7","1","3169.949520000007","65564.17023478422"
"6","2","2380.5271108000034","61018.58582251268"
"5","3","816.0487776000004","6776.955262170048"
"8","1","1655.9524696000042","42374.72580451139"
"7","2","461.03153519999995","25493.607486307083"
"6","3","1267.335148000001","40077.66952966368"
"5","4","371.13813720000024","20817.87155501902"
"10","9","1388.4337524000018","34080.613254815966"
"9","1","2418.1953084000033","39781.83258569794"
"8","2","2777.865208400006","81479.60312803926"
"7","3","1357.8204296000035","32553.40546095174"
"6","4","2410.4217560000025","54054.1197284454"
"10","8","178.35533999999998","6135.533905932738"
"9","2","1290.6509552000014","40726.19766708755"
"8","3","1664.6732456000032","60538.686835190325"
"7","4","431.76555479999973","22007.821048680187"
"6","5","2082.5554984000037","46771.78207935912"
"10","7","2230.6805900000045","50048.737341529166"
"9","3","2187.439849600003","47785.99564173222"
"8","4","2814.8309216000052","75222.2438151586"
"7","5","547.4285064000002","26342.135623730945"
"10","6","231.68124320000004","16495.331880577403"
"9","4","1261.3849748000011","37240.41122946064"
"8","5","2479.8935960000063","67232.79938488576"
"7","6","2001.8277740000017","33836.24817342638"
"9","5","1377.0479264000016","41574.72580451139"
"8","6","407.2375927999997","21450.96679918781"
"9","6","1159.580936400001","17868.12408671319"
"8","7","2406.236939600005","55004.37226013958"
"9","7","852.7909928","17022.53967444162"
"9","8","1563.990101999999","39036.24817342637"
